"Title","Link","Deadline","ReferenceNo"
"Bag, Trauma Waist","https://www.tendersontime.com/tenders-details/bag-trauma-waist-8a617c4/","31 Jul 2026","145102788"
"Bag CA w CD Logo Patriot","https://www.tendersontime.com/tenders-details/bag-ca-w-cd-logo-patriot-8a617bf/","28 Jul 2026","145102783"
"Printing of NTU Examination Answer Booklets for Office of Academic Services (OAS) - Student & Academic Services Department for a period of 3 years, effective from 1 September 2026 to 31 August 2029","https://www.tendersontime.com/tenders-details/printing-ntu-examination-answer-booklets-office-academic-services-oas---student-academic-service-8a7bc0d/","24 Jul 2026","145210381"
"Provision Of An Ai-Driven Energy Optimisation Solution For Selected Chiller Plants At Nanyang Technological University(Ntu)","https://www.tendersontime.com/tenders-details/provision-of-an-ai-driven-energy-optimisation-solution-for-selected-chiller-plants-at-nanyang-techno-8a7bc0a/","12 Aug 2026","145210378"
"Provision Of Benchtop High Output Power Signal Generator To School Of Electrical And Electronic Engineering (EEE)","https://www.tendersontime.com/tenders-details/provision-of-benchtop-high-output-power-signal-generator-to-school-of-electrical-and-electronic-engi-8a7bc07/","24 Jul 2026","145210375"
"Provision Of Preventive Maintenance Service Contract For Our Existing Two (2) Units Of Mass Spectrometer Systems To Lee Kong Chian School Of Medicine (Lkcmedicine)","https://www.tendersontime.com/tenders-details/provision-of-preventive-maintenance-service-contract-for-our-existing-two-2-units-of-mass-spectrom-8a7bc05/","24 Jul 2026","145210373"
"Design & Construction Of The Singapore Pavilion At IMEX AMERICA 2026","https://www.tendersontime.com/tenders-details/design-construction-of-the-singapore-pavilion-at-imex-america-2026-8a7b9d0/","22 Jul 2026","145209808"
"Appointment Of Integrated Brand And Marketing Strategy, Social Content And Digital Performance Agency / Agencies","https://www.tendersontime.com/tenders-details/appointment-of-integrated-brand-and-marketing-strategy-social-content-and-digital-performance-agenc-8a7b9ce/","27 Jul 2026","145209806"
"For The Design, Fabrication, Installation, Maintenance, Deinstallation And Transportation Of A Travelling Exhibition","https://www.tendersontime.com/tenders-details/for-the-design-fabrication-installation-maintenance-deinstallation-and-transportation-of-a-trave-8a7b9c8/","18 Aug 2026","145209800"
"Leasing Of 56 Firm Units Of Electric Lithium-Ion Tow Tractors With Option For 120 More Units","https://www.tendersontime.com/tenders-details/leasing-of-56-firm-units-of-electric-lithium-ion-tow-tractors-with-option-for-120-more-units-8a7b9c5/","17 Jul 2026","145209797"
"For Microsoft Dynamics 365 Business Central Erp Implementationand Maintenance Support","https://www.tendersontime.com/tenders-details/for-microsoft-dynamics-365-business-central-erp-implementationand-maintenance-support-8a7b9c0/","05 Aug 2026","145209792"
"For The Construction And Fit Out Of The New Museum Shop For National Gallery Singapore","https://www.tendersontime.com/tenders-details/for-the-construction-and-fit-out-of-the-new-museum-shop-for-national-gallery-singapore-8a7b9b9/","24 Jul 2026","145209785"
"Cedar Girls Secondary School Invites Quotation for Provision of Life Science Room Refurbishment in 2026","https://www.tendersontime.com/tenders-details/cedar-girls-secondary-school-invites-quotation-provision-life-science-room-refurbishment-2026-8a9d885/","27 Jul 2026","145348741"
"Provision of Corporate Mobile Phones and Lines","https://www.tendersontime.com/tenders-details/provision-corporate-mobile-phones-and-lines-8a9d87c/","11 Aug 2026","145348732"
"Invitation to Quote: the Provision of Book Cover Design Services for a Period of Two (2) Years with an Option to Extend for Another One (1) Year","https://www.tendersontime.com/tenders-details/invitation-quote-provision-book-cover-design-services-period-two-2-years-option-extend-another-on-8a9d877/","27 Jul 2026","145348727"
"Purchase of Autonomous Mobile Robot (Amr) System with Single-Arm Collaborative Robot (Cobot) Combination and Mobile Stations","https://www.tendersontime.com/tenders-details/purchase-autonomous-mobile-robot-amr-system-single-arm-collaborative-robot-cobot-combination-and-8a9d870/","05 Aug 2026","145348720"
"44260117/Wsp/Supply, Delivery, Installation and Commissioning of Chemical Remote Io Panels at Plant C in Johor River Waterworks","https://www.tendersontime.com/tenders-details/44260117wspsupply-delivery-installation-and-commissioning-chemical-remote-io-panels-plant-c-joho-8a9d86b/","30 Jul 2026","145348715"
"Chinese Speech and Drama: Sap Flagship Programme for P1 and P2 Students","https://www.tendersontime.com/tenders-details/chinese-speech-and-drama-sap-flagship-programme-p1-and-p2-students-8a9d863/","27 Jul 2026","145348707"
"Design, Fabrication, Delivery and Installation/ Replacement of One Unit of Polyethylene Mooring Buoy Complete with Mooring Assemblies","https://www.tendersontime.com/tenders-details/design-fabrication-delivery-and-installation-replacement-one-unit-polyethylene-mooring-buoy-compl-8a9d860/","27 Jul 2026","145348704"
"Invitation to Quote for Setting up and Operation of a School Bookshop in Anderson Secondary School for Base Year 2027 to 2029 with Option to Extend","https://www.tendersontime.com/tenders-details/invitation-quote-setting-and-operation-school-bookshop-anderson-secondary-school-base-year-2027-2029-8a9d85b/","27 Jul 2026","145348699"
"Supply of Instructor for Track and Field Cross-Country Cca Training Programme in Catholic High School (Secondary)","https://www.tendersontime.com/tenders-details/supply-instructor-track-and-field-cross-country-cca-training-programme-catholic-high-school-seconda-8a9d857/","27 Jul 2026","145348695"
"Supply of Instructor for Track and Field Throws Cca Training Programme in Catholic High School (Secondary)","https://www.tendersontime.com/tenders-details/supply-instructor-track-and-field-throws-cca-training-programme-catholic-high-school-secondary-8a9d84d/","27 Jul 2026","145348685"
"Supply and Delivery of Printer Consumables to National University of Singapore, for a Period of Two (2) Years with an Option to Extend for an Additional of One (1) Year","https://www.tendersontime.com/tenders-details/supply-and-delivery-printer-consumables-national-university-singapore-period-two-2-years-option-e-8aa4888/","07 Aug 2026","145377416"
"ITQ for supply, delivery, installation, testing and commissioning for one (1) unit of Online Electrochemical Mass Spectrometry for the Department of Chemical and Biomolecular Engineering, National Uni...","https://www.tendersontime.com/tenders-details/itq-supply-delivery-installation-testing-and-commissioning-one-1-unit-online-electrochemical-ma-8aa487f/","24 Jul 2026","145377407"
"Invitation to Quote for the Supply and Delivery of one (1) unit rack mount S-Band Solid-State Power Amplifier (SSPA) for the Centre of Remote Imaging, Sensing and Processing, National University of Si...","https://www.tendersontime.com/tenders-details/invitation-quote-supply-and-delivery-one-1-unit-rack-mount-s-band-solid-state-power-amplifier-ssp-8aa4870/","23 Jul 2026","145377392"
"Supply, Delivery, Installation and Commissioning of One (1) Unit of Uninterruptible Power Supply (UPS) System for the Institute of Intelligent Functional Materials (I-FIM), National University of Sing...","https://www.tendersontime.com/tenders-details/supply-delivery-installation-and-commissioning-one-1-unit-uninterruptible-power-supply-ups-sys-8aa4860/","24 Jul 2026","145377376"
"Tender for MAN 16.284 - 5 TON spares","https://www.tendersontime.com/tenders-details/tender-man-16284---5-ton-spares-8aa4772/","07 Aug 2026","145377138"
"PREGNANCY TEST:50 STRIPS","https://www.tendersontime.com/tenders-details/pregnancy-test50-strips-8aa4771/","03 Aug 2026","145377137"
"FORCEPS,TRACHEAL TUBE:MAGILL [170726GJ278]","https://www.tendersontime.com/tenders-details/forcepstracheal-tubemagill-170726gj278-8aa476e/","31 Jul 2026","145377134"
"IBN0509510 IPOS13072026SP YAMAHA MOTORCYCLE","https://www.tendersontime.com/tenders-details/ibn0509510-ipos13072026sp-yamaha-motorcycle-8aa476d/","28 Jul 2026","145377133"
"Itq for the Design, Supply & Installation of Heritage Spaces in Outram Secondary School, Anchorvale Campus","https://www.tendersontime.com/tenders-details/itq-design-supply-installation-heritage-spaces-outram-secondary-school-anchorvale-campus-8aaa429/","31 Jul 2026","145400873"
"Itt for the Provision of Role-Playing Services under a Period Contract of One (1) Year with an Option to Extend for Another Two (2) Two Years to Csc","https://www.tendersontime.com/tenders-details/itt-provision-role-playing-services-under-period-contract-one-1-year-option-extend-another-two-2-8aaa424/","06 Aug 2026","145400868"
"Tender for Operation and Management of a Heavy Vehicle Park (Hvp) at 81 Brickland Road","https://www.tendersontime.com/tenders-details/tender-operation-and-management-heavy-vehicle-park-hvp-81-brickland-road-8aaa420/","06 Aug 2026","145400864"
"Ai Tong School - 2027 Provision of In-House Printing Services with One Full-Time Operator Station in School","https://www.tendersontime.com/tenders-details/ai-tong-school---2027-provision-in-house-printing-services-one-full-time-operator-station-school-8aaa41c/","27 Jul 2026","145400860"
"Supply of Food Lab Assistant from 1 Jan 2027 to 31 Dec 2028","https://www.tendersontime.com/tenders-details/supply-food-lab-assistant-1-jan-2027-31-dec-2028-8aaa417/","27 Jul 2026","145400855"
"Supply of Instructors for Volleyball Cca Training Programme in Fairfield Methodist School (Secondary)","https://www.tendersontime.com/tenders-details/supply-instructors-volleyball-cca-training-programme-fairfield-methodist-school-secondary-8aaa413/","27 Jul 2026","145400851"
"Conduct of P4 Swimsafer Programme","https://www.tendersontime.com/tenders-details/conduct-p4-swimsafer-programme-8aaa40f/","27 Jul 2026","145400847"
"(Fy26/Ees/001/Itt) Refurbishment of Campus Block Signs","https://www.tendersontime.com/tenders-details/fy26ees001itt-refurbishment-campus-block-signs-8aaa408/","07 Aug 2026","145400840"
"Montfort Secondary School - Provision of Cloud-Based Integrated Timetabling and Relief Management Software","https://www.tendersontime.com/tenders-details/montfort-secondary-school---provision-cloud-based-integrated-timetabling-and-relief-management-softw-8aaa406/","27 Jul 2026","145400838"
"B/C/Hsa-Req-2026-2885/2883 - Provision of Renovation Works to the Bsm Automation Laboratory and Creation of Additional Office Workspace at Hsa","https://www.tendersontime.com/tenders-details/bchsa-req-2026-28852883---provision-renovation-works-bsm-automation-laboratory-and-creation-addit-8aaa403/","05 Aug 2026","145400835"
"INVITATION TO QUOTE (“ITQ”) FOR THE PROVISION OF DESIGN, SUPPLY, AND DELIVERY SERVICES FOR SCHOOL MERCHANDISE FOR SJI 175TH ANNIVERSARY FOR JOSEPH-S INSTITUTION","https://www.tendersontime.com/tenders-details/invitation-to-quote-itq-for-the-provision-of-design-supply-and-delivery-services-for-schoo-8ab0a02/","28 Jul 2026","145426946"
"(Xin Yi, 17 July 2026) Provision of Good Manufacturing Practice (GMP) Aseptic Fill and Finish for Duke-NUS Medical School","https://www.tendersontime.com/tenders-details/xin-yi-17-july-2026-provision-good-manufacturing-practice-gmp-aseptic-fill-and-finish-duke-nus-8acab41/","03 Aug 2026","145533761"
"Supply, Delivery, Installation, Testing and Commissioning of one set of Annealing Chamber Large Wafers for Photovoltaics to the Solar Energy Research Institute of Singapore, National University of Sin...","https://www.tendersontime.com/tenders-details/supply-delivery-installation-testing-and-commissioning-one-set-annealing-chamber-large-wafers-pho-8acab40/","21 Jul 2026","145533760"
"IEX0L09460 IPOS02072026LANDROVER(B)-AF","https://www.tendersontime.com/tenders-details/iex0l09460-ipos02072026landroverb-af-8acaaf6/","28 Jul 2026","145533686"
"AUTO SPARES","https://www.tendersontime.com/tenders-details/auto-spares-8acaaf5/","28 Jul 2026","145533685"
"IEX0Q09540 IPOS16072026NEW GFB Spares","https://www.tendersontime.com/tenders-details/iex0q09540-ipos16072026new-gfb-spares-8acaaf4/","28 Jul 2026","145533684"
"IEX0R09540 IPOS16072026TOOLSKIT/WKSPEQUIP","https://www.tendersontime.com/tenders-details/iex0r09540-ipos16072026toolskitwkspequip-8acaaf3/","28 Jul 2026","145533683"
"IEX0T09540 IPOS16072026LT STRIKE VEH MK2 SP","https://www.tendersontime.com/tenders-details/iex0t09540-ipos16072026lt-strike-veh-mk2-sp-8acaaf2/","28 Jul 2026","145533682"
"IEX0U09540 IPOS16072026Handtools","https://www.tendersontime.com/tenders-details/iex0u09540-ipos16072026handtools-8acaaf1/","28 Jul 2026","145533681"
"AUTO SPARES","https://www.tendersontime.com/tenders-details/auto-spares-8acaaf0/","28 Jul 2026","145533680"
"IEX0U09510 IPOS13072026GS Boat","https://www.tendersontime.com/tenders-details/iex0u09510-ipos13072026gs-boat-8acaaef/","28 Jul 2026","145533679"
"Provision of Halal-Certified Buffet Catering Services inclusive of venue for NUS Career Fest 2026 on 23 September 2026 (Wednesday)","https://www.tendersontime.com/tenders-details/provision-halal-certified-buffet-catering-services-inclusive-venue-nus-career-fest-2026-23-september-8ad9c07/","22 Jul 2026","145595399"
"Supply of Manpower Services - Operations Executive (Oe) for Temasek Junior College","https://www.tendersontime.com/tenders-details/supply-manpower-services---operations-executive-oe-temasek-junior-college-8ad8607/","29 Jul 2026","145589767"
"Supply of Admin Support Officer Base Year from 1St January to 31St December 2027 & Option Year from 1St January to 31St December 2028.","https://www.tendersontime.com/tenders-details/supply-admin-support-officer-base-year-1st-january-31st-december-2027-option-year-1st-january-31st-8ad8605/","29 Jul 2026","145589765"
"Infocomm Club Cca Training Programme in Greendale Pri School from 4 Jan 2027 to 31 Dec 2027 with an Option to Extend for Another 1 Year in 2028","https://www.tendersontime.com/tenders-details/infocomm-club-cca-training-programme-greendale-pri-school-4-jan-2027-31-dec-2027-option-extend-anoth-8ad85ea/","29 Jul 2026","145589738"
"Design, Printing and Delivery of Student Handbook for Pei Chun Public School (2027)","https://www.tendersontime.com/tenders-details/design-printing-and-delivery-student-handbook-pei-chun-public-school-2027-8ad85e8/","29 Jul 2026","145589736"
"Supply of Inflatables, Carnival Games and Decorations for Children's Day 2026","https://www.tendersontime.com/tenders-details/supply-inflatables-carnival-games-and-decorations-childrens-day-2026-8ad85e5/","29 Jul 2026","145589733"
"Appointment of Registered Inspectors (Architectural) to the Hdb Panel of Registered Inspectors (Batch 8)","https://www.tendersontime.com/tenders-details/appointment-registered-inspectors-architectural-hdb-panel-registered-inspectors-batch-8-8ad85e2/","19 Aug 2026","145589730"
"Appointment of Registered Inspectors (M&E) to the Hdb Panel of Registered Inspectors (Batch 8)","https://www.tendersontime.com/tenders-details/appointment-registered-inspectors-me-hdb-panel-registered-inspectors-batch-8-8ad85d1/","19 Aug 2026","145589713"
"Supply of Chess Cca Instructor in St Joseph's Institution Junior for Year 2027 with Option Year 2028","https://www.tendersontime.com/tenders-details/supply-chess-cca-instructor-st-josephs-institution-junior-year-2027-option-year-2028-8ad85d0/","29 Jul 2026","145589712"
"Pa-Itq-2026-0024 Provision of Customised Environment-Themed Workshop for Junior Environmental Ambassadors- (Jeas) Training Camp under Green Schools @","https://www.tendersontime.com/tenders-details/pa-itq-2026-0024-provision-customised-environment-themed-workshop-junior-environmental-ambassadors--8ad85ce/","30 Jul 2026","145589710"
"Supply, Delivery, Installation and Commissioning, Handover and Training of (1) unit of High-speed and High-sensitivity Spinning Disk Confocal System to the Mechanobiology Institute (MBI), National Uni...","https://www.tendersontime.com/tenders-details/supply-delivery-installation-and-commissioning-handover-and-training-1-unit-high-speed-and-high-8aedb3f/","05 Aug 2026","145677119"
"Invitation to Quote for the Provision of Soil Testing Works for a Period of Three (3) Years","https://www.tendersontime.com/tenders-details/invitation-quote-provision-soil-testing-works-period-three-3-years-8aeb932/","04 Aug 2026","145668402"
"(Fy25/Dst/015/Itt) Term Contract for Campus Network Structured Cabling System Service for 36 Months (With an Option to Extend for Another 24 Months)","https://www.tendersontime.com/tenders-details/fy25dst015itt-term-contract-campus-network-structured-cabling-system-service-36-months-with-op-8aeb92a/","24 Aug 2026","145668394"
"Leasing 1 Unit of Heavy Duty, Multi-Purpose Black / White Copier Machine to East Spring Primary School","https://www.tendersontime.com/tenders-details/leasing-1-unit-heavy-duty-multi-purpose-black-white-copier-machine-east-spring-primary-school-8aeb923/","30 Jul 2026","145668387"
"Provision of 1 Set of Graphic Processing Unit (Gpu) Compute Unit","https://www.tendersontime.com/tenders-details/provision-1-set-graphic-processing-unit-gpu-compute-unit-8aeb91c/","03 Aug 2026","145668380"
"Provision of School Uniform Services in Chij St Nicholas Girls' School for 3 Years from 2027 with Option to Extend for Another 3 Years","https://www.tendersontime.com/tenders-details/provision-school-uniform-services-chij-st-nicholas-girls-school-3-years-2027-option-extend-another-8aeb914/","30 Jul 2026","145668372"
"Spo-Req-2026-003663-Inp-Quotation for Purchase of Internship Injury Insurance for Sp Students for 2 Years with an Option to Extend for Another Year","https://www.tendersontime.com/tenders-details/spo-req-2026-003663-inp-quotation-purchase-internship-injury-insurance-sp-students-2-years-option-ex-8aeb90c/","30 Jul 2026","145668364"
"Wsps - Supply of Instructors for Choir Cca for Base Year 2027 with Option Year 2028 in Wsps [Wps2027aor-002]","https://www.tendersontime.com/tenders-details/wsps---supply-instructors-choir-cca-base-year-2027-option-year-2028-wsps-wps2027aor-002-8aeb907/","30 Jul 2026","145668359"
"Appointment of Insurance Broker for Enterprise Singapore (Enterprisesg) Dubai Oc Overseas Based Staff (Obs) Health Insurance","https://www.tendersontime.com/tenders-details/appointment-insurance-broker-enterprise-singapore-enterprisesg-dubai-oc-overseas-based-staff-obs-8aeb900/","04 Aug 2026","145668352"
"Procurement of Cleaning Services for South West Community Development Council (Swcdc) for a Period of Three Years","https://www.tendersontime.com/tenders-details/procurement-cleaning-services-south-west-community-development-council-swcdc-period-three-years-8aeb8f6/","31 Aug 2026","145668342"
"Invitation To Quote for the Supply, Delivery, Installation, Testing, and Commissioning of an Out-Of-Band (OOB) Network Setup and Accessories, including Maintenance and Support for Five (5) Years for I...","https://www.tendersontime.com/tenders-details/invitation-to-quote-supply-delivery-installation-testing-and-commissioning-out-of-band-oob-net-8bf76e6/","17 Aug 2026","146765542"
"Supply, Delivery, Installation, Commissioning and Training of a Cryo-Raman Microscopy System to the Department of Chemistry, Faculty of Science, National University of Singapore","https://www.tendersontime.com/tenders-details/supply-delivery-installation-commissioning-and-training-cryo-raman-microscopy-system-department-c-8bf76dc/","01 Sep 2026","146765532"
"Design, Supply & Delivery of Major Competition Contingent Attire","https://www.tendersontime.com/tenders-details/design-supply-delivery-major-competition-contingent-attire-8bf76cf/","14 Aug 2026","146765519"
"2026 Vjc Itq Odac Fansipan, Vietnam","https://www.tendersontime.com/tenders-details/2026-vjc-itq-odac-fansipan-vietnam-8bf1ee0/","17 Aug 2026","146743008"
"Supply of Instructor for Dragon Boat Orientation for Primary 6 Students in Marymount Convent School","https://www.tendersontime.com/tenders-details/supply-instructor-dragon-boat-orientation-primary-6-students-marymount-convent-school-8bf1cc7/","17 Aug 2026","146742471"
"Demolition of Marina South Wharves at 71 Marina Coastal Dr","https://www.tendersontime.com/tenders-details/demolition-marina-south-wharves-71-marina-coastal-dr-8bf1cbf/","26 Aug 2026","146742463"
"Supply and Installation of Handrails, Metal Platform and Ramps at Tuas Incineration Plant Demolition Site","https://www.tendersontime.com/tenders-details/supply-and-installation-handrails-metal-platform-and-ramps-tuas-incineration-plant-demolition-site-8bf1cb4/","27 Aug 2026","146742452"
"Provision of Ad-Hoc Bus Transport Services for Casuarina Primary School (1 January 2027 to 31 December 2027)","https://www.tendersontime.com/tenders-details/provision-ad-hoc-bus-transport-services-casuarina-primary-school-1-january-2027-31-december-2027-8bf1cac/","17 Aug 2026","146742444"
"Spo-Req-2026-005055-Pace-Provision of Firefighting Training to Participants of Emergency Occupational Safety Survival & Functional Training","https://www.tendersontime.com/tenders-details/spo-req-2026-005055-pace-provision-firefighting-training-participants-emergency-occupational-safety-8bf1ca5/","17 Aug 2026","146742437"
"Supply of Instructors for Coding and Robotics Cca Training Programme in Waterway Primary School","https://www.tendersontime.com/tenders-details/supply-instructors-coding-and-robotics-cca-training-programme-waterway-primary-school-8bf1ca0/","17 Aug 2026","146742432"
