"Name","LastKnownName","UEN","SocietyRegisteredAddress","RegisteredDate"
"79/79A Circuit Road Hawkers' Association","","T24SS0093A","400 PAYA LEBAR WAY, MACPHERSON COMMUNITY CLUB, Singapore 379131","2024-07-25"
"89 MacPherson Circuit Road Merchants and Hawkers Association","","T24SS0071K","400 PAYA LEBAR WAY, MACPHERSON COMMUNITY CLUB, Singapore 379131","2024-04-23"
"9 Hole Golf Club","","T19SS0035G","20 WOODLANDS CRESCENT, #07-45 NORTHOAKS, Singapore 738081","2019-02-15"
"99 Love & Volunteer","Forever 99 Love and Charity","T18SS0107C","33 UBI AVENUE 3, #4-51 VERTEX, Singapore 408868","2018-07-26"
"A A Asia","","S92SS0087J","71 HOLLAND ROAD, #04-01 UNIT 8, Singapore 258869","1992-09-08"
"A Cappella Resource Community (Singapore)","","T12SS0151L","16 ARUMUGAM ROAD, #04-01 TECK CHIANG INDUSTRIAL BUILDIN, Singapore 409961","2012-08-08"
"A Judo Association (Singapore)","A Judo Association","T13SS0178J","3 COLEMAN STREET, #04-34 PENINSULA SHOPPING CENTRE, Singapore 179804","2013-10-28"
"A.I.A. Sports Club","","S72SS0033E","1 Robinson Road AIA Tower, Singapore 048542","1972-08-24"
"AAHVD","","T16SS0135E","3 MOUNT ELIZABETH, #16-06 MOUNT ELIZABETH HOSPITAL, Singapore 228510","2016-07-15"
"Aaliah Gousiah Jilaaniyah Association of Singapore","Aaliyah Gousiyah Jeelaniyah Association of Singapore","T12SS0222E","163 Verde Crescent, Singapore 688483","2012-11-12"
"Aaloka Buddhist Center (Singapore)","","T05SS0127F","11 Lorong 22 Geylang, #02-00 , Singapore 398670","2005-05-27"
"Aathma Nyana Anbu Illam","","T11SS0102K","43 JALAN LENGKOK SEMBAWANG, SEMBAWANG PARK, Singapore 759225","2011-06-09"
"Abacus Mental Arithmetic Association of Singapore","","T19SS0010F","81 TAGORE LANE, #01-07 TAG A, Singapore 787502","2018-12-28"
"ABC Brickworks Business Association (BBA)","Brickworks Business Association (BBA)","T06SS0139H","27 FOCH ROAD, #03-02 HOA NAM BUILDING, Singapore 209264","2006-04-29"
"Abdul Kalam Vision Society","","T17SS0208G","434 SERANGOON ROAD, #02-434A , Singapore 218131","2017-10-31"
"ABLE SWIM CLUB","","T25SS0036H","34 TANAH MERAH KECHIL ROAD, #03-25 EAST MEADOWS, Singapore 465560","2025-03-13"
"Abqar","","T24SS0015H","21 WOODLANDS CLOSE, #09-01 PRIMZ BIZHUB, Singapore 737854","2024-01-23"
"Absolute Archery (Singapore)","","T20SS0033F","1 TELOK BLANGAH RISE, SHELTON COLLEGE INTERNATIONAL, Singapore 098888","2020-02-23"
"Abundant Grace Presbyterian Church","","T13SS0122H","240 Jalan Kayu, Singapore 799464","2013-07-08"
"Abundant Life Baptist Church","","S89SS0054E","10 Bukit Batok Crescent, #05-06 #05-07, The Spire, Singapore 658079","1989-11-08"
"Abundant Life Bible-Presbyterian Church","Abundant Life Christian Church","S94SS0051F","10 Marsiling Lane, Singapore 739147","1994-08-01"
"AC United FC","","T08SS0038J","43D Lorong L Telok Kurau, Singapore 425464","2008-01-03"
"Academy of Chinese Medicine, Singapore","","T14SS0164C","705 SERANGOON ROAD, KWONG WAI SHIU HOSPITAL, Singapore 328127","2014-10-28"
"Academy of Engineering, Singapore","","T11SS0118B","70 Bukit Tinggi Road, c/o Institution of Engineers, Singapore 289758","2011-06-16"
"Academy of Principals (Singapore)","","T01SS0202J","51 Grange Road Blk 2, #01-04 , Singapore 249564","2001-11-02"
"ACAMS Chapter (Singapore)","","T13SS0145F","1 RAFFLES QUAY, #49 ONE RAFFLES QUAY, Singapore 048583","2013-09-02"
"ACAPS","","T11SS0096D","11 EUNOS ROAD 8, #08-01 LIFELONG LEARNING INSTITUTE, Singapore 408601","2011-05-26"
"Accenture Corporate Citizenship","","T12SS0184C","250 North Bridge Road, #33-00 , Singapore 179101","2012-09-24"
"Accenture Rec Club","","T10SS0003K","250 NORTH BRIDGE ROAD, #33-00 RAFFLES CITY TOWER, Singapore 179101","2010-01-07"
"Access Solution Industry Association","ACCESS & SCAFFOLD INDUSTRY ASSOCIATION","T05SS0312C","68 Woodlands Industrial Park E9, Singapore 757835","2005-12-14"
"Accueil Singapour","Association Francaise De Singapour (French Association of Singapore)","S61SS0066L","100 PECK SEAH STREET, #08-14 PS100, Singapore 079333","1961-05-02"
"Ace Swim Club","Aquatic Centre Of Excellence (ACE)","S99SS0057G","190 MacPherson Road, #06-01B Gulab Wisma, Singapore 348548","1999-04-20"
"Aces of Welfare Assistance and Liaisons - A.W.A.L","","T20SS0174B","11 LORONG 37 GEYLANG, Singapore 387908","2020-12-08"
"ACI (Singapore Chapter)","","T08SS0195J","13 HILLVIEW CRESCENT, Singapore 669437","2008-12-22"
"Action For Aids (Singapore)","","S88SS0126A","31 Kelantan Lane, #02-16 c/o DSC Clinic, Singapore 200031","1988-11-30"
"Action for Singapore Dogs Society","","T02SS0132E","3 Jambol Place, Singapore 119330","2002-07-03"
"Action Sports Association (Singapore)","","T05SS0196A","6C Margaret Drive, #01-58 , Singapore 142006","2005-07-05"
"Active Mobility Association Singapore","","T20SS0012L","37B HONGKONG STREET, #3-37B  , Singapore 059676","2020-01-15"
"Active Retirees'  Association","","T03SS0231E","29 Limau Rise, Singapore 465854","2003-11-04"
"Active Tennis Singles","","T23SS0049B","51 WEST COAST WAY, CARABELLE, Singapore 127015","2023-04-05"
"ACTS - Highway To Holiness","","T04SS0194D","151 Chin Swee Road, #01-51/52 Manhattan House, Singapore 169876","2004-09-30"
"Acts Baptist Church","","S86SS0075G","1023 UPPER SERANGOON ROAD, #04-01 , Singapore 534761","1986-10-28"
"Acts Community Church","","T05SS0049F","301 Ubi Ave 1, #01-253 , Singapore 400301","2005-03-02"
"ADAM FOOD CENTRE COMMITTEE","","T08SS0066K","2 PETIR ROAD, #13-11 MAYSPRINGS, Singapore 678265","2008-02-01"
"Adam Road Presbyterian Church","","T12SS0060G","25 ADAM ROAD, Singapore 289894","2012-04-04"
"Adam Satria Geylang Serai Singapura","","T13SS0170H","390 Victoria Street, #03-50 Golden Landmark, Singapore 188061","2013-10-17"
"Adelaide University Alumni Association (Singapore)","","T02SS0047K","28 FLORA DRIVE, #01-58 FERRARIA PARK CONDOMINIUM, Singapore 506951","2002-02-14"
"Adelphi Knight Masons No 118","","T17SS0035H","23A Coleman Street, Singapore 179806","2017-02-23"
"Adelphia Joo Chiat Gospel Hall","","T06SS0062E","10 Tembeling Lane, Joo Chiat Gospel Hall, Singapore 423483","2006-05-16"
"Admiralty Citizens' Consultative Committee","","T02SS0239A","120 WOODLANDS AVENUE 1, ACE THE PLACE COMMUNITY CLUB, Singapore 739069","2002-04-11"
"Admiralty City Football Club","","T25SS0035A","12 WOODLANDS SQUARE, #13-79 WOODS SQUARE, Singapore 737715","2025-03-06"
"Admiralty Place (Woodlands) Merchants Association","","T17SS0034A","678A WOODLANDS AVENUE 6, #01-25 MULTI STOREY CAR PARK, Singapore 731678","2017-02-20"
"Admiralty Zone 10 Residents' Network","Admiralty Zone 10 Residents' Committee","T18SS0050K","120 WOODLANDS AVENUE 1, Singapore 739069","2018-04-12"
"Admiralty Zone 3 Residents' Network","Admiralty Zone '3' Residents' Network","T01SS0113H","851 Woodlands Street 83, #01-18 Woodlands Constituency Secretariat, Singapore 730851","2001-05-10"
"Admiralty Zone 4 Residents' Network","Admiralty Zone '4' Residents' Network","T02SS0113B","589 Woodlands Drive 16, #01-30 Admiralty Constituency Secretariat, Singapore 730589","2002-06-14"
"Admiralty Zone 5 Residents' Network","Admiralty Zone '5' Residents' Committee","T02SS0241E","589 Woodlands Dr 16, #01-30 Admiralty Constituency Secretariat, Singapore 730589","2002-05-30"
"Admiralty Zone 6 Residents' Network ","Admiralty Zone 6 Residents' Committee","T04SS0286D","690F WOODLANDS DRIVE 75, #01-12 HDB-WOODLANDS, Singapore 736690","2004-12-08"
"Admiralty Zone 8 Residents' Network ","Admiralty Zone 8 Residents' Committee","T17SS0137B","120 WOODLANDS AVENUE 1, Admiralty Constituency Office, Singapore 739069","2017-08-01"
"Admiralty Zone 9 Residents' Network","Admiralty Zone 9 Residents' Committee","T18SS0095K","120 WOODLANDS AVENUE 1, Singapore 739069","2018-07-13"
"Adroit Sports Association","","T13SS0159F","280 WOODLANDS INDUSTRIAL PARK E5, #07-30 HARVEST @ WOODLANDS, Singapore 757322","2013-09-25"
"Adullam Life Counselling","","T13SS0070F","315 OUTRAM ROAD, #15-02 TAN BOON LIAT BUILDING, Singapore 169074","2013-04-27"
"Adventist Community Services","Adventist Better Living Centre","S60SS0011A","798 THOMSON ROAD, Singapore 298186","1960-07-25"
"Adventist Home for the Elders","","S80SS0046B","195 Kim  Keat Avenue, #01-294 , Singapore 310195","1980-08-21"
"Adventist Nursing and Rehabilitation Centre","","S97SS0048K","6 Marsiling Drive, #01-96 , Singapore 730006","1997-02-11"
"ADVISORS ALLIANCE GROUP LEADERS COUNCIL","","T21SS0033L","80 RAFFLES PLACE, #36-01 UOB PLAZA, Singapore 048624","2021-02-22"
"Advisory (Singapore)","","T19SS0142D","1F , #02-30 PINE GROVE, Singapore 595001","2019-07-14"
"Aesthetic Dentistry Society (Singapore)","","T00SS0151J","1 RAFFLES LINK, #01-03 CITYLINK MALL, Singapore 039393","2000-07-18"
"Aesthetic Group Gymnastics Singapore","","T15SS0139F","10 SHENTON WAY, #09-00 MAS BUILDING, Singapore 079117","2015-08-21"
"AFFINITY CULTURAL HERITAGE","","T10SS0103A","65 SHELFORD ROAD, #01-03 SHELFORD REGENCY, Singapore 288455","2010-05-06"
"Aflaaq Stars Educational and Cultural Society","","T09SS0031J","111 NORTH BRIDGE ROAD, #07-09 PENINSULA PLAZA, Singapore 179098","2009-02-05"
"Aflame Family Centre","","T06SS0019G","8 Lorong 27A Geylang, #02-08 Guilin Building, Singapore 388106","2006-01-19"
"Africa Society","West Africa Society","S69SS0037K","24 Ridout Road, Singapore 248418","1969-05-21"
"Africa-South East Asia Chamber of Commerce","","T12SS0094F","140 CECIL STREET, #01-00A PIL BUILDING, Singapore 069540","2012-05-23"
"Agape Baptist Church","","S84SS0017C","1 DORSET ROAD, CHRIST CHURCH, Singapore 219486","1984-04-19"
"Agape Christian Centre","","T00SS0010B","8 Lorong 11 Geylang, Singapore 388700","2000-02-17"
"AGAPE COMMUNITY AND TRAINING CENTRE","Agape Counselling and Training Centre","S91SS0045C","8 Lorong 11 Geylang, Singapore 388700","1991-09-28"
"Agape Community Church","Victory Christian Centre","S86SS0023A","266 Serangoon Central Drive, #04-255 , Singapore 550266","1986-06-16"
"Agape Reformed Evangelical Church","Agape Vision Association","S97SS0009H","24 SIN MING LANE, #06-105 MIDVIEW CITY, Singapore 573970","1997-02-18"
"Agarwood Association (Singapore)","","T13SS0071B","169 Stirling road, #01-1165 , Singapore 140169","2013-04-29"
"Aged Care Trust Society","","T17SS0055G","50 CHIN SWEE ROAD, #09-04 THONG CHAI BUILDING, Singapore 169874","2017-03-20"
"Ageless Theatre","","T17SS0020A","58 CACTUS ROAD, SELETAR GARDEN, Singapore 809606","2017-02-01"
"AGENCY FOR LIFE EMPOWERMENT","","T16SS0032D","200 JALAN SULTAN, #03-11 TEXTILE CENTRE, Singapore 199018","2016-02-17"
"Agency Leaders Management Association of AIA Singapore Private Limited (ALMA of AIA)","Agency Leaders Management Association of American International Assurance Co Ltd","S90SS0088F","371 ALEXANDRA ROAD, #03-00 AIA ALEXANDRA, Singapore 159963","1990-11-12"
"AGG Singapore","Aesthetic Group Gymnastics Association (Singapore)","T19SS0169H","51 , GOLDHILL PLAZA, Singapore 308900","2019-08-08"
"Aggregates Association of Singapore","Granite Suppliers Association (Singapore)","S94SS0066B","60 JALAN LAM HUAT, #03-18 CARROS CENTRE, Singapore 737869","1994-06-17"
"Aglow International (Singapore)","The Women's Aglow Fellowship Singapore Chapter (W.A.F.S.C.)","S79SS0014D","30 Eastwood Road, #01-10 Fairmount Condominium, Singapore 486365","1979-01-31"
"Agnes & Jeremiah Home","","T14SS0130D","10 Anson Road, #15-14 International Plaza, Singapore 079903","2014-08-08"
"Agni Koothu","","S93SS0092F","28 Marsiling Drive, #05-257 , Singapore 730028","1993-03-24"
"Ah Hood Gardens Residential Network","Ah Hood Gardens Residents' Committee","S82SS0083L","200 LORONG 2 TOA PAYOH, TOA PAYOH WEST COMMUNITY CLUB, Singapore 319642","1982-09-01"
"AHA","","T20SS0006A","970 GEYLANG ROAD, #02-03B  , Singapore 423492","2020-01-07"
"AI KAKI","","T25SS0076F","15 QUEEN STREET, #03-03 TAN CHONG TOWER, Singapore 188537","2025-05-29"
"AI Professionals Association","","T20SS0101A","60 PAYA LEBAR ROAD, #05-16 PAYA LEBAR SQUARE, Singapore 409051","2020-07-06"
"AI Promotion Society","","T21SS0061A","78 WEST COAST ROAD, #04-03 CLEMENTIWOODS CONDOMINIUM, Singapore 126815","2021-04-18"
"Ai Xin Society","","S81SS0075D","25A LORONG BACHOK, Singapore 387789","1981-11-25"
"AIChE Singapore Local Section","Singapore Local Section of the American Institute of Chemical Engineers","T15SS0128E","4 ENGINEERING DRIVE 4, #02-09 Block E5 NUS, Singapore 117585","2015-08-11"
"AIESEC Singapore","Association Internationale Des Etudiants En Sciences Economiques Et Commerciales (AIESEC) Singapore (International Association of Students in Economics and Management)","S72SS0002E","2 ORCHARD LINK, #04-01(3) SCAPE, Singapore 237978","1972-05-17"
"AIESEC-Singapore Alumni","","S79SS0053F","1160 Depot Road, #03-01/03 Telok Blangah Industrial Estate, Singapore 109674","1979-12-12"
"Aikido Yuishinkai (Singapore)","","T06SS0114G","231A Lavender Street, Singapore 338779","2006-08-11"
"Aikikai (Singapore)","","S87SS0139L","137 CECIL STREET, #06-00 AVIVA BUILDING, Singapore 069537","1987-12-21"
"Ailsa Chapter No 602 S.C.","","T21SS0054F","23A COLEMAN STREET, MASONIC HALL, Singapore 179806","2021-04-09"
"Ailsa Cryptic Guild","","T21SS0098K","23A COLEMAN STREET, MASONIC HALL, Singapore 179806","2021-06-03"
"Ailsa L & C Knights","","T21SS0082G","23A COLEMAN STREET, MASONIC HALL, Singapore 179806","2021-05-14"
"AIM (SINGAPORE)","","T11SS0175L","20 Jalan Chempaka Kuning, Singapore 489058","2011-10-01"
"Ain Society","","T00SS0163F","2 EUNOS CRESCENT, #01-2545 , Singapore 400002","2000-10-10"
"Air Liquide Singapore Sports and Social Club","Soxal Sports & Social Club","S77SS0019G","2 VENTURE DRIVE, #22-28 VISION EXCHANGE, Singapore 608526","1977-01-11"
"Air Sports Federation of Singapore","Aeromodelling Federation of Singapore","T06SS0108H","100 HAIG ROAD, #10-02 DUNMAN VIEW, Singapore 438797","2006-11-20"
"Air Traffic Controllers Association (Singapore)","","S90SS0041C","60 Biggin Hill Road, Joint Air Traffic Control Centre, Singapore 509950","1990-04-16"
"Aircargo Golf Club, Singapore","","T08SS0143C","119 Airport Cargo Road, #01-10 Changi Cargo Agents Megaplex 1, Singapore 819454","2008-06-04"
"Air-Conditioning & Refrigeration Association","Refrigeration and Air-Conditioning Contractors Association (RACCA)","S72SS0032J","10 ADMIRALTY STREET, #03-06 NORTH LINK BUILDING, Singapore 757695","1972-07-13"
"Airline Club of Singapore","","S84SS0068B","726 UPPER CHANGI ROAD, EAST SIA GROUP SPORTS CLUB, Singapore 486046","1984-04-06"
"Airline Finance and Administration Representatives Association","","S98SS0162G","456 ALEXANDRA ROAD, #10-02 FRAGRANCE EMPIRE BUILDING, Singapore 119962","1998-10-26"
"Airline Operators Committee, Singapore Changi Airport","","S69SS0020L"," Changi Airport Terminal 2 South Finger Pier  SIA Airport Services & Operations(Ground Services  Dept) #038-054-057, South Finger Pier, 3rd Level, #3 SIA Airport Services & Operations(Ground Services Dept) #038-054-057, Singapore 819643","1969-04-03"
"Ai-Tong School Alumni Association","Ai-Tong Old Boys' Association","S85SS0058B","100 Bright Hill Drive, Singapore 579646","1985-07-08"
"Aixin Arts and Cultural Development Association (Singapore)","","T08SS0019F","55 Chai Chee Drive, #01-178 , Singapore 460055","2008-04-09"
"Al Ihsaan Singapore Football Club","","T24SS0007F","113 EUNOS AVENUE 3, #05-03 GORDON INDUSTRIAL BUILDING, Singapore 409838","2024-01-11"
"AL KHIDMAH","Darul Nadwa","S99SS0078B","43 LENGKONG EMPAT, #08-01 D - HERITAGE APARTMENTS, Singapore 417659","1999-11-12"
"Al Wehdah Al Arabiah Bi Singhafura (Arabs' Association Singapore, The)","","S61SS0007K","11 Lorong 37 Geylang Road, Singapore 387908","1961-11-13"
"ALAGAPPA INSTITUTIONS ALUMNI SINGAPORE","","T17SS0152K","9 TUAS SOUTH AVENUE 10, #02-05 T99, Singapore 637014","2017-08-17"
"Albirex Singapore Football Club","Albirex Niigata Football Club (Singapore)","T04SS0099D","21 JURONG EAST STREET 31, #04-04 Jurong East Sports Complex, Singapore 609517","2004-03-03"
"Alexandra Football Academy","","T19SS0028A","81 UBI AVENUE 4, #9-18 UB. ONE, Singapore 408830","2019-02-01"
"Alexandra Residents' Network","","T21SS0100K","500 BUKIT MERAH VIEW, HENDERSON COMMUNITY CLUB, Singapore 159682","2021-06-10"
"Alexandra Village Business Association","","T06SS0309H","122 Bukit Merah Lane 1, #01-54 , Singapore 150122","2006-12-02"
"Alfa Romeo Owners' Club of Singapore","","T02SS0234K","8 SIN MING INDUSTRIAL EST SECTOR C, #01-54/56 , Singapore 575643","2002-12-05"
"Al-Funun Society","Arts Welfare Society (Singapore)","T11SS0207C","170 UPPER BUKIT TIMAH ROAD, #04-54 BUKIT TIMAH SHOPPING CENTRE, Singapore 588179","2011-11-15"
"Aligarh Muslim University Alumni Association, Singapore","","T19SS0050D","36 WEST COAST ROAD, #01-29 VARSITY PARK CONDOMINIUM, Singapore 127343","2019-03-08"
"Alita Initiative","","T24SS0137A","35 KALLANG PUDDING ROAD, #08-03E TONG LEE BUILDING, Singapore 349314","2024-10-24"
"ALittleChange","","T16SS0172D","37 LORONG 7 REALTY PARK, PEOPLE'S GARDEN, Singapore 536796","2016-09-29"
"Alive Community Church","","T03SS0128C","70 BENDEMEER ROAD, #04-03 LUZERNE, Singapore 339940","2003-08-15"
"Alive Community Network","","T02SS0190K","72 BENDEMEER ROAD, #05-13 LUZERNE, Singapore 339941","2002-10-04"
"Aljunied-Kembangan Citizens' Consultative Committee","Aljunied Constituency Citizens' Consultative Committee","S80SS0102L","110 Hougang Avenue 1, #01-1048 , Singapore 530110","1980-05-24"
"Alkaff View @ Bidadari Residents' Network","","T22SS0024G","6 POTONG PASIR AVENUE 2, POTONG PASIR COMMUNITY CLUB, Singapore 358361","2022-02-14"
"All Darts Association of Singapore","Soft-tip Darts Association Singapore","T11SS0168E","449 RACE COURSE ROAD, Singapore 218693","2011-09-19"
"All Myanma Metta Peace & Friendship Society","","T17SS0147G","5 COLEMAN STREET, #02-17 , Singapore 179805","2017-08-11"
"All Saints Home","","S87SS0068F","5 Poh Huat Road, Singapore 546703","1987-07-07"
"All Saints Presbyterian Church","","T01SS0182C","7 Armenian St, Bible House #B1-01, Singapore 179932","2001-09-14"
"Allergy and Clinical Immunology Society (Singapore)","","T06SS0148F","11 Jalan Tan Tock Seng, Tan Tock Seng Hospital C/O Department of Rheumatology, Allergy and Immunology, Singapore 308433","2006-07-08"
"Alliance for CoSpace Robot Education (A-CoRE)","","T16SS0202D","1010 DOVER ROAD, #01-70 Entrepreneur Hub, Singapore 139658","2016-11-16"
"Alliance Francaise De Singapour","Singapore Branch of the Alliance Francaise","S61SS0085C","1 Sarkies Road, Singapore 258130","1961-05-20"
"Alliance Manchester Business School Alumni Association (Singapore)","Manchester Business School Alumni Association (Singapore)","T03SS0190D","80 ROBINSON ROAD, #13-02 , Singapore 068898","2003-12-17"
"Alliance of Chiropractic (Singapore)","World Chiropractic Alliance (Singapore)","T09SS0241G","80 MARINE PARADE ROAD, #21-05 PARKWAY PARADE, Singapore 449269","2009-11-16"
"Alliance Ultimate Frisbee Club","","T17SS0040L","10 SUNRISE TERRACE, SUNRISE VILLA, Singapore 806349","2017-03-03"
"ALOKA MITRA SINGAPORE","","T21SS0044A","41 HINDHEDE WALK, #03-04 SOUTHHAVEN I, Singapore 587972","2021-03-16"
"AlphaSingapore","Alpha (Singapore)","T03SS0059A","250 TANJONG PAGAR ROAD, #03-02 SAINT ANDREW'S CENTRE, Singapore 088541","2003-03-14"
"AlphaSoc","Alpha Society","S66SS0052C","100 High Street  Public Service Division, 100 High Street #07-01, The Treasury, #7-1 Public Service Division The Treasury , Singapore 179434","1966-09-14"
"Alpine Expeditions Club (Singapore)","","S98SS0009B","36 Dover Rise, Tower (B), #01-10 Dover Park View, Singapore 138685","1998-02-12"
"Alsace Wine and Gastronomy Society","","T14SS0172E","20 MAXWELL ROAD, #05-08 MAXWELL HOUSE, Singapore 069113","2014-11-12"
"Alumni Al-Maarif","","T21SS0140H","160 CHANGI ROAD, #03-12 HEXACUBE, Singapore 419728","2021-08-30"
"Alumni Association of Beijing University of Aeronautics and Astronautics (Singapore)","","T14SS0071G","21 TOH GUAN ROAD EAST, #09-11 TOH GUAN CENTRE, Singapore 608609","2014-05-06"
"Alumni Association of Hohai University Singapore","","T16SS0030A","1 TAMPINES NORTH DRIVE 3, #08-05 BHCC SPACE, Singapore 528499","2016-02-17"
"Alumni Association of Huazhong University of Science and Technology, Singapore","","T11SS0190H","17 JALAN BESUT, Singapore 619570","2011-10-15"
"Alumni Association of the Ateneo Leadership and Social Entrepreneurship Program (Singapore)","","T18SS0140G","43 PASIR PANJANG ROAD, Singapore 118503","2018-10-04"
"Alumni Association of the King Edward VII College of Medicine and the Faculties of Medicine, Universities of Malaya and Singapore","Alumni Association of King Edward VLL College of Medicine and the Faculty of Medicine, University of Malaya, The","S61SS0039F","2 College Road, Housemen Quarter, Singapore 169850","1961-12-15"
"Alumni Association, Madrasah Aljunied Alislamiah (ALMAS)","","S82SS0035L","395 Victoria Street, Singapore 198346","1982-09-01"
"Alumni CSM Academy","","T17SS0158H","250 Sims Avenue, #03-01 SPCS Building, Singapore 387513","2017-08-24"
"Alumni International Singapore, The","","S70SS0032K","9 Kent Ridge Drive, c/o NUS Kent Ridge Guild House, Singapore 119241","1970-08-18"
"Alumni of Bukit Panjang Government High School, The","","S87SS0045H","152A Jalan Jurong Kechil, Singapore 598647","1987-02-12"
"Alumni of Chung Cheng High School","","S82SS0012B","40-56 Goodman Road, Singapore 439012","1982-01-15"
"Alumni of Taiwan Universities and Colleges","","S78SS0014K","53 Cantonment Road, Singapore 089753","1978-05-11"
"Ama Keng Friendly Association","Singapore Lim Chu Kang, Ama Keng Friendly Association","S64SS0026F","502 Jurong West Avenue 1, #04-813 , Singapore 640502","1964-04-17"
"Amadeus Choral Society","","T01SS0203E","63 Bishan Street 21, #08-02 , Singapore 574045","2001-09-26"
"AMATEUR BASEBALL ASSOCIATION (SINGAPORE)","","T16SS0004C","16 UPPER SERANGOON VIEW, #15-10 RIO VISTA, Singapore 534201","2016-01-05"
"AMATEUR FOOTBALL ASSOCIATION (SINGAPORE)","","T22SS0103C","30 KAKI BUKIT ROAD 3, #01-17 EMPIRE TECHNOCENTRE, Singapore 417819","2022-08-04"
"Amazing Grace Presbyterian Church","","T12SS0143J","408B UPPER EAST COAST ROAD, Singapore 466484","2012-07-30"
"Ambassador Baptist Church","","T09SS0103K","11 WOODLANDS CLOSE, #10 -42/43 WOODLANDS 11, Singapore 737853","2009-05-13"
